0.0000	0.0000	
6.0000	0.080000	
10.000	0.11000	
15.000	0.25000	
30.000	0.54000	
46.000	0.67000	
67.000	1.6800	
82.000	4.0000	
116.00	5.3600	
155.00	11.510	
167.00	13.190	
172.00	14.020	
194.00	17.080	
207.00	19.040	
228.00	23.850	
235.00	24.890	
245.00	25.790	
252.00	26.380	
257.00	29.170	
268.00	30.690	
271.00	31.070	
275.00	33.110	
276.00	34.460	
284.00	34.970	
294.00	36.440	
305.00	37.720	
308.00	40.720	
321.00	40.720	
322.00	40.890	
323.00	41.120	
330.00	41.560	
338.00	43.250	
343.00	43.570	
358.00	43.780	
374.00	44.700	
382.00	44.910	
392.00	47.180	
394.00	47.600	
400.00	48.850	
409.00	49.810	
417.00	53.380	
423.00	58.720	
432.00	63.330	
433.00	63.630	
438.00	64.960	
449.00	67.380	
460.00	70.750	
472.00	73.630	
485.00	74.760	
490.00	75.670	
498.00	76.720	
501.00	77.070	
505.00	77.770	
508.00	78.200	
517.00	80.860	
551.00	92.540	
563.00	97.190	
610.00	118.94	
652.00	160.13	
676.00	166.02	
706.00	196.70	
720.00	200.83	
754.00	238.78	
771.00	245.87	
846.00	299.00	
1473.0	299.00	
1507.0	305.00	
1535.0	308.50	
1540.0	309.96	
1552.0	312.61	
1570.0	314.81	
1583.0	318.51	
1587.0	321.31	
1628.0	326.65	
1633.0	330.25	
1647.0	332.56	
1679.0	338.38	
1707.0	342.71	
1728.0	348.85	
1770.0	363.61	
1779.0	366.12	
1823.0	371.12	
1859.0	378.62	
1918.0	395.68	
1926.0	398.92	
1928.0	399.81	
1929.0	400.72	
1930.0	401.29	
2002.0	401.60	
2008.0	401.60	
2058.0	409.24	
2069.0	411.01	
2083.0	413.06	
2150.0	426.64	
2151.0	427.14	
2156.0	428.39	
2160.0	429.46	
2162.0	428.15	
2191.0	435.93	
2207.0	440.84	
2209.0	444.24	
2235.0	451.17	
2250.0	454.01	
2273.0	457.70	
2274.0	458.00	
2275.0	458.46	
2291.0	460.83	
2312.0	465.33	
2327.0	468.97	
2333.0	469.83	
2353.0	476.93	
2359.0	481.13	
2360.0	482.63	
2440.0	483.33	
2442.0	483.63	
2445.0	484.00	
2479.0	486.53	
2502.0	492.33	
2510.0	496.65	
2514.0	498.58	
2521.0	500.15	
2532.0	504.35	
2533.0	506.68	
2551.0	510.57	
2522.0	511.32	
2557.0	512.61	
2578.0	515.41	
2580.0	519.10	
2590.0	521.53	
2593.0	521.81	
2593.0	523.79	
2610.0	525.21	
2613.0	526.16	
2616.0	526.96	
2623.0	529.43	
2627.0	531.49	
2633.0	533.10	
2644.0	534.63	
2650.0	536.63	
2667.0	539.93	
2681.0	542.93	
2693.0	545.13	
2715.0	546.33	
2725.0	548.01	
2796.0	553.40	
2797.0	554.10	
2798.0	554.60	
2799.0	555.70	
3547.0	555.70	
3560.0	556.10	
3576.0	556.60	
3606.0	557.70	
3618.0	558.30	
3631.0	560.00	
3642.0	561.30	
3663.0	563.40	
3684.0	564.30	
3726.0	578.10	
3756.0	590.10	
3779.0	603.90	
3815.0	622.70	
3837.0	641.70	
3844.0	644.70	
3876.0	664.70	
3913.0	679.41	
3962.0	710.30	
4042.0	783.30	
4103.0	817.30	
4158.0	820.30	
4626.0	820.30	
