,"Eruption","Dome","Tar River","White River","Nothern","Fort Ghaut","Cumulative","Cumulative","Extrusion"
"Date","Day","Volume","Deposits","Deposits","Deposits","Deposits","Ash Vol.","Extruded Vol.","Rate"
,,"x 106 m3","x 106 m3","x 106 m3","x 106 m3","x 106 m3","x 106 m3","x 106 m3","m3day-1"
35018,-6,"x 106 m3",,,,,,"x 106 m3","m3day-1"
37370,2346,295.21,23.04,61.36,31.95,24.64,22.05,446.70,142857
37407,2383,303.62,23.04,61.36,31.95,24.64,22.05,453.80,373684
37458,2434,308.60,23.04,61.36,31.95,24.64,22.05,458.00,113514
37497,2473,309.43,23.04,61.36,31.95,24.64,22.05,458.70,13725
37520,2496,312.87,23.04,61.36,31.95,24.64,22.05,461.60,74359
37539,2515,319.74,23.04,61.36,31.95,24.64,22.05,467.40,252174
37550,2526,326.49,23.04,61.36,31.95,24.64,22.05,473.10,300000
37569,2545,331.47,23.04,61.36,31.95,24.64,22.05,477.30,381818
37596,2572,336.33,23.04,61.36,31.95,24.64,22.05,481.40,215789
37611,2587,340.60,23.04,61.36,31.95,24.64,22.05,485.00,133333
37628,2604,342.25,23.04,61.36,31.95,24.64,22.05,486.40,93333
37634,2610,344.86,23.04,61.36,31.95,24.64,22.05,488.60,129412
37662,2638,346.76,23.04,61.36,31.95,24.64,22.05,490.20,266667
37668,2644,351.38,23.04,61.36,31.95,24.64,22.05,494.10,139286
37685,2661,353.75,23.04,61.36,31.95,24.64,22.05,496.10,333333
37699,2675,357.66,23.04,61.36,31.95,24.64,22.05,499.40,194118
37712,2688,361.33,23.04,61.36,31.95,24.64,22.05,502.50,221429
37733,2709,363.82,23.04,61.36,31.95,24.64,22.05,504.60,161538
38565,3541,365.24,23.04,61.36,31.95,24.64,22.05,505.80,57143
38580,3556,0.00,331.27,61.36,31.95,24.64,22.05,505.80,2
38594,3570,0.62,331.27,61.36,31.95,24.64,22.05,506.33,35161
38624,3600,1.32,331.27,61.36,31.95,24.64,22.05,506.91,41781
38638,3614,2.49,331.27,61.36,31.95,24.64,22.05,507.90,33048
38650,3626,2.98,331.27,61.36,31.95,24.64,22.05,508.31,29237
38660,3636,5.34,331.27,61.36,31.95,24.64,22.05,510.31,166110
38681,3657,7.11,331.27,61.36,31.95,24.64,22.05,511.80,149370
38703,3679,8.80,331.27,61.36,31.95,24.64,22.05,513.23,67914
38744,3720,9.90,331.27,61.36,31.95,24.64,22.05,514.15,42195
38775,3751,25.80,331.27,61.36,31.95,24.64,22.05,527.57,327269
38799,3775,49.60,331.27,61.36,31.95,24.64,22.05,547.66,647897
38834,3810,55.30,331.27,61.36,31.95,24.64,22.05,552.47,200426
38855,3831,78.40,331.27,61.36,31.95,24.64,22.05,571.96,556974
38857,3833,100.00,331.27,61.36,31.95,24.64,22.05,590.19,868011
38862,3838,0.00,431.27,61.36,31.95,24.64,22.05,605.80,7805000
38895,3871,3.80,431.27,61.36,31.95,24.64,22.05,609.01,641364
38930,3906,27.00,431.27,61.36,31.95,24.64,22.05,628.59,593287
39122,4098,46.00,431.27,61.36,31.95,24.64,22.05,644.62,458117
39149,4125,191.00,431.27,61.36,31.95,24.64,22.05,766.99,637320
39176,4152,199.00,431.27,61.36,31.95,24.64,22.05,773.74,250044
39241,4217,201.00,431.27,61.36,31.95,24.64,22.05,775.42,62511
